"Crime Date","Crime","Recorded Crimes"
"2003"," Homicide offences",92
"2003"," Murder",36
"2003"," Manslaughter",15
"2003"," Infanticide",0
"2003"," Dangerous driving leading to death",41
"2003"," Sexual offences",1573
"2003"," Rape of a male or female",324
"2003"," Defilement of a boy or girl less than  years old",112
"2003"," Sexual offence involving mentally impaired person",23
"2003"," Aggravated sexual assault",11
"2003"," Sexual assault (not aggravated)",1002
"2003"," Other sexual offences",101
"2003"," Attempts/threats to murder assaults harassments and related offences",13537
"2003"," Murder-attempt",5
"2003"," Murder-threat",42
"2003"," Harassment and related offences",1065
"2003"," Assault causing harm poisoning",3940
"2003"," Other assault",8485
"2003"," Dangerous or negligent acts",11961
"2003"," Dangerous driving causing serious bodily harm",20
"2003"," Driving/in charge of a vehicle while over legal alcohol limit",11480
"2003"," Driving/in charge of a vehicle under the influence of drugs",77
"2003"," Endangerment with potential for serious harm/death",51
"2003"," Abandoning a child child neglect and cruelty",178
"2003"," Unseaworthy/dangerous use of boat or ship",0
"2003"," False alarm/interference with aircraft or air transport facilities",12
"2003"," Endangering traffic offences",143
"2003"," Kidnapping and related offences",97
"2003"," False imprisonment",73
"2003"," Abduction of person under  years of age",24
"2003"," Human trafficking offences",0
"2003"," Robbery extortion and hijacking offences",2913
"2003"," Robbery of an establishment or institution",1030
"2003"," Robbery of cash or goods in transit",53
"2003"," Robbery from the person",1718
"2003"," Blackmail or extortion",21
"2003"," Carjacking hijacking/unlawful seizure of aircraft/vessel",91
"2003"," Burglary and related offences",25756
"2003"," Aggravated burglary",327
"2003"," Burglary (not aggravated)",25208
"2003"," Possession of an article (with intent to burgle steal demand)",221
"2003"," Theft and related offences",73430
"2003"," Theft/taking of vehicle and related offences",13147
"2003"," Theft from person",6659
"2003"," Theft from shop",15690
"2003"," Other thefts handling stolen property",37934
"2003"," Fraud deception and related offences",3636
"2003"," Controlled drug offences",9297
"2003"," Importation of drugs",36
"2003"," Cultivation or manufacture of drugs",72
"2003"," Possession of drugs for sale or supply",2311
"2003"," Possession of drugs for personal use",6504
"2003"," Other drug offences",374
"2003"," Weapons and Explosives Offences",1917
"2003"," Explosives chemical weapons offences",52
"2003"," Discharging a firearm",210
"2003"," Possession of a firearm",372
"2003"," Offensive weapons offences (n.e.c.)",1283
"2003"," Fireworks offences",0
"2003"," Damage to property and to the environment",34024
"2003"," Arson",1419
"2003"," Criminal damage (not arson)",32518
"2003"," Litter offences",87
"2003"," Public order and other social code offences",45140
"2003"," Disorderly conduct",37663
"2003"," Trespass offences",1439
"2003"," Liquor licensing offences",4342
"2003"," Prostitution offences",196
"2003"," Regulated betting/money collection/trading offences",304
"2003"," Social code offences (n.e.c.)",1196
"2003"," Offences against government justice procedures and organisation of crime",6834
"2003"," Offences against government and its agents",198
"2003"," Organisation of crime and conspiracy to commit crime",11
"2003"," Perverting the course of justice",247
"2003"," Offences while in custody breach of court orders",6378
"2004"," Homicide offences",113
"2004"," Murder",29
"2004"," Manslaughter",15
"2004"," Infanticide",0
"2004"," Dangerous driving leading to death",69
"2004"," Sexual offences",1481
"2004"," Rape of a male or female",409
"2004"," Defilement of a boy or girl less than  years old",113
"2004"," Sexual offence involving mentally impaired person",14
"2004"," Aggravated sexual assault",14
"2004"," Sexual assault (not aggravated)",867
"2004"," Other sexual offences",64
"2004"," Attempts/threats to murder assaults harassments and related offences",13275
"2004"," Murder-attempt",1
"2004"," Murder-threat",47
"2004"," Harassment and related offences",976
"2004"," Assault causing harm poisoning",3890
"2004"," Other assault",8361
"2004"," Dangerous or negligent acts",12669
"2004"," Dangerous driving causing serious bodily harm",29
"2004"," Driving/in charge of a vehicle while over legal alcohol limit",12155
"2004"," Driving/in charge of a vehicle under the influence of drugs",76
"2004"," Endangerment with potential for serious harm/death",75
"2004"," Abandoning a child child neglect and cruelty",192
"2004"," Unseaworthy/dangerous use of boat or ship",0
"2004"," False alarm/interference with aircraft or air transport facilities",19
"2004"," Endangering traffic offences",123
"2004"," Kidnapping and related offences",74
"2004"," False imprisonment",62
"2004"," Abduction of person under  years of age",12
"2004"," Human trafficking offences",0
"2004"," Robbery extortion and hijacking offences",2716
"2004"," Robbery of an establishment or institution",1076
"2004"," Robbery of cash or goods in transit",61
"2004"," Robbery from the person",1479
"2004"," Blackmail or extortion",15
"2004"," Carjacking hijacking/unlawful seizure of aircraft/vessel",85
"2004"," Burglary and related offences",24900
"2004"," Aggravated burglary",282
"2004"," Burglary (not aggravated)",24419
"2004"," Possession of an article (with intent to burgle steal demand)",199
"2004"," Theft and related offences",72187
"2004"," Theft/taking of vehicle and related offences",14361
"2004"," Theft from person",5708
"2004"," Theft from shop",14883
"2004"," Other thefts handling stolen property",37235
"2004"," Fraud deception and related offences",3176
"2004"," Controlled drug offences",9914
"2004"," Importation of drugs",36
"2004"," Cultivation or manufacture of drugs",39
"2004"," Possession of drugs for sale or supply",2183
"2004"," Possession of drugs for personal use",7196
"2004"," Other drug offences",460
"2004"," Weapons and Explosives Offences",2155
"2004"," Explosives chemical weapons offences",65
"2004"," Discharging a firearm",291
"2004"," Possession of a firearm",374
"2004"," Offensive weapons offences (n.e.c.)",1424
"2004"," Fireworks offences",1
"2004"," Damage to property and to the environment",37040
"2004"," Arson",1501
"2004"," Criminal damage (not arson)",35433
"2004"," Litter offences",106
"2004"," Public order and other social code offences",47780
"2004"," Disorderly conduct",38225
"2004"," Trespass offences",1567
"2004"," Liquor licensing offences",6688
"2004"," Prostitution offences",219
"2004"," Regulated betting/money collection/trading offences",317
"2004"," Social code offences (n.e.c.)",764
"2004"," Offences against government justice procedures and organisation of crime",6455
"2004"," Offences against government and its agents",165
"2004"," Organisation of crime and conspiracy to commit crime",16
"2004"," Perverting the course of justice",263
"2004"," Offences while in custody breach of court orders",6011
"2005"," Homicide offences",141
"2005"," Murder",52
"2005"," Manslaughter",14
"2005"," Infanticide",0
"2005"," Dangerous driving leading to death",75
"2005"," Sexual offences",1561
"2005"," Rape of a male or female",420
"2005"," Defilement of a boy or girl less than  years old",114
"2005"," Sexual offence involving mentally impaired person",12
"2005"," Aggravated sexual assault",7
"2005"," Sexual assault (not aggravated)",950
"2005"," Other sexual offences",58
"2005"," Attempts/threats to murder assaults harassments and related offences",13685
"2005"," Murder-attempt",7
"2005"," Murder-threat",95
"2005"," Harassment and related offences",1116
"2005"," Assault causing harm poisoning",3710
"2005"," Other assault",8757
"2005"," Dangerous or negligent acts",14705
"2005"," Dangerous driving causing serious bodily harm",22
"2005"," Driving/in charge of a vehicle while over legal alcohol limit",14064
"2005"," Driving/in charge of a vehicle under the influence of drugs",106
"2005"," Endangerment with potential for serious harm/death",80
"2005"," Abandoning a child child neglect and cruelty",264
"2005"," Unseaworthy/dangerous use of boat or ship",0
"2005"," False alarm/interference with aircraft or air transport facilities",18
"2005"," Endangering traffic offences",151
"2005"," Kidnapping and related offences",74
"2005"," False imprisonment",58
"2005"," Abduction of person under  years of age",16
"2005"," Human trafficking offences",0
"2005"," Robbery extortion and hijacking offences",2423
"2005"," Robbery of an establishment or institution",1152
"2005"," Robbery of cash or goods in transit",44
"2005"," Robbery from the person",1137
"2005"," Blackmail or extortion",18
"2005"," Carjacking hijacking/unlawful seizure of aircraft/vessel",72
"2005"," Burglary and related offences",26371
"2005"," Aggravated burglary",274
"2005"," Burglary (not aggravated)",25900
"2005"," Possession of an article (with intent to burgle steal demand)",197
"2005"," Theft and related offences",73029
"2005"," Theft/taking of vehicle and related offences",14189
"2005"," Theft from person",4610
"2005"," Theft from shop",16464
"2005"," Other thefts handling stolen property",37766
"2005"," Fraud deception and related offences",3753
"2005"," Controlled drug offences",13347
"2005"," Importation of drugs",36
"2005"," Cultivation or manufacture of drugs",50
"2005"," Possession of drugs for sale or supply",2653
"2005"," Possession of drugs for personal use",10067
"2005"," Other drug offences",541
"2005"," Weapons and Explosives Offences",2554
"2005"," Explosives chemical weapons offences",102
"2005"," Discharging a firearm",311
"2005"," Possession of a firearm",432
"2005"," Offensive weapons offences (n.e.c.)",1706
"2005"," Fireworks offences",3
"2005"," Damage to property and to the environment",39718
"2005"," Arson",1415
"2005"," Criminal damage (not arson)",38175
"2005"," Litter offences",128
"2005"," Public order and other social code offences",55486
"2005"," Disorderly conduct",42429
"2005"," Trespass offences",1842
"2005"," Liquor licensing offences",9684
"2005"," Prostitution offences",85
"2005"," Regulated betting/money collection/trading offences",370
"2005"," Social code offences (n.e.c.)",1076
"2005"," Offences against government justice procedures and organisation of crime",7786
"2005"," Offences against government and its agents",147
"2005"," Organisation of crime and conspiracy to commit crime",5
"2005"," Perverting the course of justice",225
"2005"," Offences while in custody breach of court orders",7409
"2006"," Homicide offences",150
"2006"," Murder",60
"2006"," Manslaughter",12
"2006"," Infanticide",0
"2006"," Dangerous driving leading to death",78
"2006"," Sexual offences",1440
"2006"," Rape of a male or female",366
"2006"," Defilement of a boy or girl less than  years old",70
"2006"," Sexual offence involving mentally impaired person",15
"2006"," Aggravated sexual assault",16
"2006"," Sexual assault (not aggravated)",914
"2006"," Other sexual offences",59
"2006"," Attempts/threats to murder assaults harassments and related offences",15556
"2006"," Murder-attempt",8
"2006"," Murder-threat",97
"2006"," Harassment and related offences",1669
"2006"," Assault causing harm poisoning",4007
"2006"," Other assault",9775
"2006"," Dangerous or negligent acts",19199
"2006"," Dangerous driving causing serious bodily harm",24
"2006"," Driving/in charge of a vehicle while over legal alcohol limit",18521
"2006"," Driving/in charge of a vehicle under the influence of drugs",117
"2006"," Endangerment with potential for serious harm/death",70
"2006"," Abandoning a child child neglect and cruelty",300
"2006"," Unseaworthy/dangerous use of boat or ship",0
"2006"," False alarm/interference with aircraft or air transport facilities",16
"2006"," Endangering traffic offences",151
"2006"," Kidnapping and related offences",82
"2006"," False imprisonment",70
"2006"," Abduction of person under  years of age",12
"2006"," Human trafficking offences",0
"2006"," Robbery extortion and hijacking offences",2489
"2006"," Robbery of an establishment or institution",1103
"2006"," Robbery of cash or goods in transit",31
"2006"," Robbery from the person",1254
"2006"," Blackmail or extortion",11
"2006"," Carjacking hijacking/unlawful seizure of aircraft/vessel",90
"2006"," Burglary and related offences",24817
"2006"," Aggravated burglary",285
"2006"," Burglary (not aggravated)",24298
"2006"," Possession of an article (with intent to burgle steal demand)",234
"2006"," Theft and related offences",74515
"2006"," Theft/taking of vehicle and related offences",13656
"2006"," Theft from person",3591
"2006"," Theft from shop",18433
"2006"," Other thefts handling stolen property",38835
"2006"," Fraud deception and related offences",4336
"2006"," Controlled drug offences",14231
"2006"," Importation of drugs",43
"2006"," Cultivation or manufacture of drugs",91
"2006"," Possession of drugs for sale or supply",2999
"2006"," Possession of drugs for personal use",10492
"2006"," Other drug offences",606
"2006"," Weapons and Explosives Offences",3124
"2006"," Explosives chemical weapons offences",166
"2006"," Discharging a firearm",297
"2006"," Possession of a firearm",420
"2006"," Offensive weapons offences (n.e.c.)",2203
"2006"," Fireworks offences",38
"2006"," Damage to property and to the environment",43588
"2006"," Arson",1660
"2006"," Criminal damage (not arson)",41788
"2006"," Litter offences",140
"2006"," Public order and other social code offences",56598
"2006"," Disorderly conduct",47248
"2006"," Trespass offences",2362
"2006"," Liquor licensing offences",5648
"2006"," Prostitution offences",105
"2006"," Regulated betting/money collection/trading offences",417
"2006"," Social code offences (n.e.c.)",818
"2006"," Offences against government justice procedures and organisation of crime",9474
"2006"," Offences against government and its agents",237
"2006"," Organisation of crime and conspiracy to commit crime",19
"2006"," Perverting the course of justice",249
"2006"," Offences while in custody breach of court orders",8969
"2007"," Homicide offences",152
"2007"," Murder",78
"2007"," Manslaughter",7
"2007"," Infanticide",1
"2007"," Dangerous driving leading to death",66
"2007"," Sexual offences",1356
"2007"," Rape of a male or female",355
"2007"," Defilement of a boy or girl less than  years old",71
"2007"," Sexual offence involving mentally impaired person",12
"2007"," Aggravated sexual assault",17
"2007"," Sexual assault (not aggravated)",809
"2007"," Other sexual offences",92
"2007"," Attempts/threats to murder assaults harassments and related offences",18137
"2007"," Murder-attempt",4
"2007"," Murder-threat",164
"2007"," Harassment and related offences",2541
"2007"," Assault causing harm poisoning",3912
"2007"," Other assault",11516
"2007"," Dangerous or negligent acts",20730
"2007"," Dangerous driving causing serious bodily harm",26
"2007"," Driving/in charge of a vehicle while over legal alcohol limit",19550
"2007"," Driving/in charge of a vehicle under the influence of drugs",288
"2007"," Endangerment with potential for serious harm/death",68
"2007"," Abandoning a child child neglect and cruelty",554
"2007"," Unseaworthy/dangerous use of boat or ship",1
"2007"," False alarm/interference with aircraft or air transport facilities",21
"2007"," Endangering traffic offences",222
"2007"," Kidnapping and related offences",108
"2007"," False imprisonment",93
"2007"," Abduction of person under  years of age",15
"2007"," Human trafficking offences",0
"2007"," Robbery extortion and hijacking offences",2204
"2007"," Robbery of an establishment or institution",816
"2007"," Robbery of cash or goods in transit",20
"2007"," Robbery from the person",1282
"2007"," Blackmail or extortion",21
"2007"," Carjacking hijacking/unlawful seizure of aircraft/vessel",65
"2007"," Burglary and related offences",23990
"2007"," Aggravated burglary",260
"2007"," Burglary (not aggravated)",23430
"2007"," Possession of an article (with intent to burgle steal demand)",300
"2007"," Theft and related offences",75130
"2007"," Theft/taking of vehicle and related offences",13609
"2007"," Theft from person",2909
"2007"," Theft from shop",18775
"2007"," Other thefts handling stolen property",39837
"2007"," Fraud deception and related offences",6269
"2007"," Controlled drug offences",18524
"2007"," Importation of drugs",53
"2007"," Cultivation or manufacture of drugs",162
"2007"," Possession of drugs for sale or supply",3581
"2007"," Possession of drugs for personal use",13994
"2007"," Other drug offences",734
"2007"," Weapons and Explosives Offences",3596
"2007"," Explosives chemical weapons offences",27
"2007"," Discharging a firearm",330
"2007"," Possession of a firearm",415
"2007"," Offensive weapons offences (n.e.c.)",2574
"2007"," Fireworks offences",250
"2007"," Damage to property and to the environment",43275
"2007"," Arson",2095
"2007"," Criminal damage (not arson)",40967
"2007"," Litter offences",213
"2007"," Public order and other social code offences",60694
"2007"," Disorderly conduct",51335
"2007"," Trespass offences",3041
"2007"," Liquor licensing offences",4917
"2007"," Prostitution offences",110
"2007"," Regulated betting/money collection/trading offences",542
"2007"," Social code offences (n.e.c.)",749
"2007"," Offences against government justice procedures and organisation of crime",10915
"2007"," Offences against government and its agents",341
"2007"," Organisation of crime and conspiracy to commit crime",10
"2007"," Perverting the course of justice",192
"2007"," Offences while in custody breach of court orders",10372
"2008"," Homicide offences",113
"2008"," Murder",51
"2008"," Manslaughter",14
"2008"," Infanticide",0
"2008"," Dangerous driving leading to death",48
"2008"," Sexual offences",1268
"2008"," Rape of a male or female",331
"2008"," Defilement of a boy or girl less than  years old",79
"2008"," Sexual offence involving mentally impaired person",7
"2008"," Aggravated sexual assault",12
"2008"," Sexual assault (not aggravated)",771
"2008"," Other sexual offences",68
"2008"," Attempts/threats to murder assaults harassments and related offences",19711
"2008"," Murder-attempt",11
"2008"," Murder-threat",205
"2008"," Harassment and related offences",3063
"2008"," Assault causing harm poisoning",3843
"2008"," Other assault",12589
"2008"," Dangerous or negligent acts",19229
"2008"," Dangerous driving causing serious bodily harm",18
"2008"," Driving/in charge of a vehicle while over legal alcohol limit",17564
"2008"," Driving/in charge of a vehicle under the influence of drugs",754
"2008"," Endangerment with potential for serious harm/death",51
"2008"," Abandoning a child child neglect and cruelty",544
"2008"," Unseaworthy/dangerous use of boat or ship",2
"2008"," False alarm/interference with aircraft or air transport facilities",41
"2008"," Endangering traffic offences",255
"2008"," Kidnapping and related offences",75
"2008"," False imprisonment",58
"2008"," Abduction of person under  years of age",13
"2008"," Human trafficking offences",4
"2008"," Robbery extortion and hijacking offences",2329
"2008"," Robbery of an establishment or institution",870
"2008"," Robbery of cash or goods in transit",27
"2008"," Robbery from the person",1293
"2008"," Blackmail or extortion",22
"2008"," Carjacking hijacking/unlawful seizure of aircraft/vessel",117
"2008"," Burglary and related offences",25269
"2008"," Aggravated burglary",328
"2008"," Burglary (not aggravated)",24517
"2008"," Possession of an article (with intent to burgle steal demand)",424
"2008"," Theft and related offences",76815
"2008"," Theft/taking of vehicle and related offences",14460
"2008"," Theft from person",3252
"2008"," Theft from shop",20027
"2008"," Other thefts handling stolen property",39076
"2008"," Fraud deception and related offences",5748
"2008"," Controlled drug offences",23356
"2008"," Importation of drugs",67
"2008"," Cultivation or manufacture of drugs",216
"2008"," Possession of drugs for sale or supply",4265
"2008"," Possession of drugs for personal use",18077
"2008"," Other drug offences",731
"2008"," Weapons and Explosives Offences",4029
"2008"," Explosives chemical weapons offences",47
"2008"," Discharging a firearm",223
"2008"," Possession of a firearm",453
"2008"," Offensive weapons offences (n.e.c.)",2973
"2008"," Fireworks offences",333
"2008"," Damage to property and to the environment",44339
"2008"," Arson",2299
"2008"," Criminal damage (not arson)",41736
"2008"," Litter offences",304
"2008"," Public order and other social code offences",62068
"2008"," Disorderly conduct",53578
"2008"," Trespass offences",3723
"2008"," Liquor licensing offences",3851
"2008"," Prostitution offences",131
"2008"," Regulated betting/money collection/trading offences",430
"2008"," Social code offences (n.e.c.)",355
"2008"," Offences against government justice procedures and organisation of crime",13188
"2008"," Offences against government and its agents",341
"2008"," Organisation of crime and conspiracy to commit crime",11
"2008"," Perverting the course of justice",174
"2008"," Offences while in custody breach of court orders",12662
"2009"," Homicide offences",97
"2009"," Murder",53
"2009"," Manslaughter",9
"2009"," Infanticide",0
"2009"," Dangerous driving leading to death",35
"2009"," Sexual offences",1545
"2009"," Rape of a male or female",363
"2009"," Defilement of a boy or girl less than  years old",109
"2009"," Sexual offence involving mentally impaired person",8
"2009"," Aggravated sexual assault",10
"2009"," Sexual assault (not aggravated)",956
"2009"," Other sexual offences",99
"2009"," Attempts/threats to murder assaults harassments and related offences",18905
"2009"," Murder-attempt",7
"2009"," Murder-threat",228
"2009"," Harassment and related offences",2805
"2009"," Assault causing harm poisoning",3718
"2009"," Other assault",12147
"2009"," Dangerous or negligent acts",15035
"2009"," Dangerous driving causing serious bodily harm",17
"2009"," Driving/in charge of a vehicle while over legal alcohol limit",13299
"2009"," Driving/in charge of a vehicle under the influence of drugs",873
"2009"," Endangerment with potential for serious harm/death",65
"2009"," Abandoning a child child neglect and cruelty",507
"2009"," Unseaworthy/dangerous use of boat or ship",3
"2009"," False alarm/interference with aircraft or air transport facilities",21
"2009"," Endangering traffic offences",250
"2009"," Kidnapping and related offences",142
"2009"," False imprisonment",84
"2009"," Abduction of person under  years of age",13
"2009"," Human trafficking offences",45
"2009"," Robbery extortion and hijacking offences",2523
"2009"," Robbery of an establishment or institution",1034
"2009"," Robbery of cash or goods in transit",24
"2009"," Robbery from the person",1336
"2009"," Blackmail or extortion",25
"2009"," Carjacking hijacking/unlawful seizure of aircraft/vessel",104
"2009"," Burglary and related offences",27506
"2009"," Aggravated burglary",370
"2009"," Burglary (not aggravated)",26704
"2009"," Possession of an article (with intent to burgle steal demand)",432
"2009"," Theft and related offences",76916
"2009"," Theft/taking of vehicle and related offences",13312
"2009"," Theft from person",2636
"2009"," Theft from shop",20554
"2009"," Other thefts handling stolen property",40414
"2009"," Fraud deception and related offences",5217
"2009"," Controlled drug offences",21872
"2009"," Importation of drugs",46
"2009"," Cultivation or manufacture of drugs",271
"2009"," Possession of drugs for sale or supply",3967
"2009"," Possession of drugs for personal use",16764
"2009"," Other drug offences",824
"2009"," Weapons and Explosives Offences",4091
"2009"," Explosives chemical weapons offences",48
"2009"," Discharging a firearm",233
"2009"," Possession of a firearm",403
"2009"," Offensive weapons offences (n.e.c.)",2979
"2009"," Fireworks offences",428
"2009"," Damage to property and to the environment",41916
"2009"," Arson",3007
"2009"," Criminal damage (not arson)",38663
"2009"," Litter offences",246
"2009"," Public order and other social code offences",57484
"2009"," Disorderly conduct",49546
"2009"," Trespass offences",3836
"2009"," Liquor licensing offences",3266
"2009"," Prostitution offences",94
"2009"," Regulated betting/money collection/trading offences",458
"2009"," Social code offences (n.e.c.)",284
"2009"," Offences against government justice procedures and organisation of crime",11747
"2009"," Offences against government and its agents",531
"2009"," Organisation of crime and conspiracy to commit crime",5
"2009"," Perverting the course of justice",146
"2009"," Offences while in custody breach of court orders",11065
"2010"," Homicide offences",112
"2010"," Murder",55
"2010"," Manslaughter",8
"2010"," Infanticide",0
"2010"," Dangerous driving leading to death",49
"2010"," Sexual offences",2303
"2010"," Rape of a male or female",468
"2010"," Defilement of a boy or girl less than  years old",157
"2010"," Sexual offence involving mentally impaired person",15
"2010"," Aggravated sexual assault",7
"2010"," Sexual assault (not aggravated)",1486
"2010"," Other sexual offences",170
"2010"," Attempts/threats to murder assaults harassments and related offences",18219
"2010"," Murder-attempt",7
"2010"," Murder-threat",367
"2010"," Harassment and related offences",2590
"2010"," Assault causing harm poisoning",3680
"2010"," Other assault",11575
"2010"," Dangerous or negligent acts",11698
"2010"," Dangerous driving causing serious bodily harm",19
"2010"," Driving/in charge of a vehicle while over legal alcohol limit",10313
"2010"," Driving/in charge of a vehicle under the influence of drugs",577
"2010"," Endangerment with potential for serious harm/death",56
"2010"," Abandoning a child child neglect and cruelty",434
"2010"," Unseaworthy/dangerous use of boat or ship",10
"2010"," False alarm/interference with aircraft or air transport facilities",7
"2010"," Endangering traffic offences",282
"2010"," Kidnapping and related offences",132
"2010"," False imprisonment",81
"2010"," Abduction of person under  years of age",22
"2010"," Human trafficking offences",29
"2010"," Robbery extortion and hijacking offences",3236
"2010"," Robbery of an establishment or institution",1088
"2010"," Robbery of cash or goods in transit",21
"2010"," Robbery from the person",1981
"2010"," Blackmail or extortion",24
